Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
755000.0,09 Aralık 2025,Volkswagen,Polo,1.6 TDi Trendline,2018.0,305.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,80 hp,Önden Çekiş,İkinci El,"3,8 lt",40 lt,"1 değişen, 2 boyalı",,Sahibinden
869000.0,07 Aralık 2025,Fiat,Egea,1.3 Multijet Easy,2022.0,93.000 km,Düz,Dizel,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
1719750.0,03 Aralık 2025,Volkswagen,Passat,1.5 TSi Impression,2021.0,122.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,3 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden
197500.0,10 Aralık 2025,Fiat,Tipo,1.6 SX,1995.0,198.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1581 cc,75 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,,Sahibinden
1255000.0,30 Kasım 2025,Citroen,C3,1.2 PureTech Shine,2024.0,28.500 km,Otomatik,Benzin,Hatchback/5,Bordo,1199 cc,112 hp,Önden Çekiş,İkinci El,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden
630000.0,10 Aralık 2025,Renault,Megane,1.5 dCi Icon,2013.0,250.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
1214000.0,04 Aralık 2025,BMW,1 Serisi,116d Joy Plus,2017.0,212.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1496 cc,116 hp,Arkadan İtiş,İkinci El,"4,1 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
1235000.0,09 Aralık 2025,BMW,1 Serisi,116i Joy Edition,2015.0,156.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1598 cc,136 hp,Arkadan İtiş,İkinci El,"5,7 lt",52 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
280000.0,10 Aralık 2025,Opel,Astra,1.6 GLS,1998.0,242.500 km,Otomatik,LPG & Benzin,Hatchback/5,Gri (metalik),1598 cc,100 hp,Önden Çekiş,İkinci El,,52 lt,3 boyalı,,Sahibinden
1025000.0,07 Aralık 2025,Volkswagen,Golf,1.2 TSi Comfortline,2013.0,176.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1197 cc,105 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden
860000.0,09 Aralık 2025,Honda,Civic,1.6 i-VTEC Premium,2012.0,190.250 km,Otomatik,LPG & Benzin,Sedan,Gri,1595 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden
1025000.0,05 Aralık 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2012.0,170.000 km,Düz,Dizel,Hatchback/5,Mavi,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"2 değişen, 6 boyalı",Takasa Uygun,Galeriden
1165000.0,09 Aralık 2025,Opel,Corsa,1.2 Turbo Ultimate,2020.0,78.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1199 cc,130 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,Tamamı orjinal,,Sahibinden
387500.0,03 Aralık 2025,Renault,R 12,TL,1972.0,72.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1300 cc,54 hp,Önden Çekiş,İkinci El,,,11 boyalı,Takasa Uygun Değil,Galeriden
1220000.0,04 Aralık 2025,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,256.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,116 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
1375000.0,09 Aralık 2025,BMW,3 Serisi,320i ED Standart,2014.0,155.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,170 hp,Arkadan İtiş,İkinci El,"5,4 lt",60 lt,2 boyalı,Takasa Uygun,Sahibinden
5000000.0,03 Aralık 2025,Chevrolet,Camaro,2.0,2017.0,115.000 km,Otomatik,Benzin,Coupe,Siyah,1998 cc,275 hp,Arkadan İtiş,İkinci El,8 lt,72 lt,4 boyalı,Takasa Uygun Değil,Galeriden
848000.0,01 Aralık 2025,Fiat,Egea,1.4 Fire Easy,2022.0,35.000 km,Düz,Benzin,Sedan,Füme,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1095000.0,10 Aralık 2025,Ford,Focus,1.5 TDCi Trend X,2016.0,119.400 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,Önden Çekiş,İkinci El,"4,2 lt",55 lt,4 boyalı,,Sahibinden
130000.0,10 Aralık 2025,Tofaş,Şahin,1.6,1993.0,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,,Arkadan İtiş,İkinci El,,52 lt,Belirtilmemiş,,Sahibinden
1060000.0,09 Aralık 2025,Hyundai,i20,1.4 MPI Style,2017.0,96.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,2 boyalı,Takasa Uygun Değil,Sahibinden
880000.0,09 Aralık 2025,Renault,Fluence,1.5 dCi Touch,2015.0,163.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden
987500.0,02 Aralık 2025,Renault,Megane,1.5 dCi Touch,2016.0,163.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",49 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden
135000.0,10 Aralık 2025,Tofaş,Murat,131,1985.0,250.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1297 cc,65 hp,Arkadan İtiş,İkinci El,,50 lt,Tamamı boyalı,,Sahibinden
1109000.0,03 Aralık 2025,Hyundai,i10,1.2 MPI Style,2024.0,6.053 km,Otomatik,Benzin,Hatchback/5,Mavi,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden
115000.0,09 Aralık 2025,Lada,Samara,1.5,1992.0,66.666 km,Düz,LPG & Benzin,Hatchback/5,Bordo,1499 cc,68 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
220000.0,10 Aralık 2025,Renault,R 19,1.6 Europa RT,1996.0,395.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,,Sahibinden
230000.0,09 Aralık 2025,Fiat,Palio,1.2 EL,2002.0,176.500 km,Düz,LPG & Benzin,Hatchback/3,Mavi,1242 cc,74 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,"1 değişen, 12 boyalı",,Sahibinden
2150000.0,10 Aralık 2025,Mercedes - Benz,E,180 Premium,2013.0,210.000 km,Otomatik,Benzin,Sedan,Beyaz,1595 cc,156 hp,Arkadan İtiş,İkinci El,"6,6 lt",59 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
325000.0,09 Aralık 2025,Fiat,Albea,1.4 Fire Active,2006.0,320.000 km,Düz,LPG & Benzin,Sedan,Bordo,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,1 değişen,Takasa Uygun Değil,Sahibinden
765000.0,10 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Shine,2020.0,120.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 boyalı,Takasa Uygun Değil,Sahibinden
244000.0,10 Aralık 2025,Peugeot,206,1.4 X-Design,2006.0,357.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,9 lt",50 lt,Belirtilmemiş,,Sahibinden
205000.0,10 Aralık 2025,Fiat,Palio,1.6 HL,1999.0,308.000 km,Düz,LPG & Benzin,Hatchback/5,Lacivert,1581 cc,100 hp,Önden Çekiş,İkinci El,"8,3 lt",51 lt,Belirtilmemiş,,Sahibinden
685000.0,09 Aralık 2025,Skoda,SuperB,1.4 TSI Elegance,2010.0,342.000 km,Düz,Benzin,Sedan,Siyah,1390 cc,125 hp,Önden Çekiş,İkinci El,"6,8 lt",60 lt,"3 değişen, 4 boyalı",,Sahibinden
1115000.0,01 Aralık 2025,Seat,Leon,1.6 TDI Style,2016.0,225.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
990000.0,03 Aralık 2025,Seat,Leon,1.2 TSI Style,2015.0,126.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1197 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1190000.0,04 Aralık 2025,Renault,Megane,1.5 dCi Touch,2019.0,124.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,"1 değişen, 2 boyalı",,Sahibinden
1020000.0,06 Aralık 2025,Dacia,Sandero,1.0 Tce Essential,2023.0,75.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden
805000.0,05 Aralık 2025,Volkswagen,VW CC,1.4 TSi,2012.0,136.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1390 cc,160 hp,Önden Çekiş,İkinci El,"6,9 lt",70 lt,"1 değişen, 1 boyalı",,Sahibinden
835000.0,10 Aralık 2025,Renault,Clio,0.9 TCe Joy,2020.0,37.776 km,Düz,Benzin,Hatchback/5,Kırmızı,898 cc,90 hp,Önden Çekiş,İkinci El,5 lt,45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
160000.0,09 Aralık 2025,Fiat,Uno,70 S,1997.0,302.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1372 cc,71 hp,Önden Çekiş,İkinci El,,42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
