Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
1.375.000 TL,29 Kasım 2025,Skoda,Octavia,1.0 e-Tec Elite,2021.0,99.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Siyah,999 cc,110 hp,Önden Çekiş,İkinci El,"4,3 lt",48 lt,2 boyalı,Takasa Uygun,Galeriden
1.839.750 TL,04 Aralık 2025,BMW,5 Serisi,520i Premium,2015.0,190.000 km,Otomatik,Benzin,Sedan,Beyaz,1592 cc,170 hp,Arkadan İtiş,İkinci El,"6,7 lt",70 lt,Tamamı orjinal,Takasa Uygun,Galeriden
341.999 TL,06 Aralık 2025,Renault,Laguna,1.6 Expression,2005.0,284.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden
725.000 TL,09 Aralık 2025,Volkswagen,Jetta,1.2 TSi Trendline,2014.0,262.250 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1197 cc,105 hp,Önden Çekiş,İkinci El,"5,4 lt",55 lt,12 boyalı,Takasa Uygun,Sahibinden
567.000 TL,04 Aralık 2025,Dacia,Logan,1.6 MCV Ambiance,2018.0,157.000 km,Düz,Benzin,Station wagon,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden
689.000 TL,06 Aralık 2025,Opel,Insignia,2.0 CDTI Cosmo,2009.0,305.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,151 - 175 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden
825.000 TL,09 Aralık 2025,Renault,Fluence,1.5 dCi Touch,2015.0,179.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,4 boyalı,,Sahibinden
750.000 TL,02 Aralık 2025,Fiat,Egea,1.3 Multijet Easy,2022.0,156.249 km,Düz,Dizel,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 değişen,Takasa Uygun,Galeriden
465.000 TL,09 Aralık 2025,Skoda,Fabia,1.2 Classic,2009.0,190.000 km,Düz,LPG & Benzin,Hatchback/5,Füme,1198 cc,70 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,Belirtilmemiş,,Sahibinden
435.000 TL,30 Kasım 2025,Fiat,Punto,1.3 Multijet Pop,2012.0,264.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,75 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,3 boyalı,Takasa Uygun,Galeriden
420.000 TL,06 Kasım 2025,Ford,Fiesta,1.4 Comfort,2005.0,248.500 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1388 cc,80 hp,Önden Çekiş,İkinci El,"6,3 lt",45 lt,4 boyalı,,Sahibinden
1.065.000 TL,03 Aralık 2025,Volkswagen,Polo,1.2 TSi Comfortline,2014.0,150.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
1.360.000 TL,03 Aralık 2025,Honda,City,1.5 i-VTEC Executive,2022.0,20.300 km,Otomatik,Benzin,Sedan,Gri,1498 cc,121 hp,Önden Çekiş,İkinci El,"6,2 lt",40 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1.320.000 TL,09 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2016.0,108.700 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
685.000 TL,29 Kasım 2025,Renault,Clio,0.9 TCe Icon,2013.0,134.000 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,Önden Çekiş,İkinci El,"4,5 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
387.000 TL,07 Aralık 2025,Peugeot,307,1.6 Premium,2006.0,281.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1587 cc,110 hp,Önden Çekiş,İkinci El,"7,4 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden
860.000 TL,10 Aralık 2025,Renault,Clio,1.0 TCe Joy,2022.0,68.400 km,Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,5 lt,42 lt,"5 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden
1.099.000 TL,05 Aralık 2025,Renault,Clio,1.0 TCe Equilibre,2023.0,45.000 km,Otomatik,Benzin,Hatchback/5,Mavi,999 cc,90 hp,Önden Çekiş,İkinci El,6 lt,42 lt,2 boyalı,Takasa Uygun,Galeriden
